mendemobilisasikan	demobilize||1
ditagih	charged||1
(pilot project) inovatif	innovative||1
pasangan suami	husband||1
godaan	temptation||1
ketat hanya	strictly||1
kesan lokasi sebuah satu episode	one-shot||1
bergulir	revolving||1 rolling||1
penggemar foto mencetak foto membingkai membeli termutakhir	Photo||1
Euro	Euro||1 euro||1 euros||1
meningkatkan indikator	improve||1
kecepatan angin	velocity||1
diperdagangkan	traded||1 trading||1 trade||1 launched||1
terendah	lowest||1
terendam	inundated||1
penekanan besar	emphasis||1
TSV menjajal kekuatan	TSV||1
berpotensi menyebabkan terjadinya	potentially||1
NL NL	NL||1
menelusuri perdagangan-perdagangan	track||1
pernah menjumpai serupa tata surya	solar||1
makhluk hidup	living||1 creatures||1 creature||1
Zakharia	Zechariah||1
Kendaraan sport Escudome dilengkapi	Escudome||1
Bahana utang akumulasi utang denda	fines||1
menjabat kalinya	spell||1
jasmani	physical||1 bodily||1
traffic juga meroket	soars||1
Sementara Indofood	Indofood||1
Penduduk Jumlah KK (kepala keluarga) KK	Populations||1
kemandirian	independence||1 independency||1
bertambah menjadi meningkat	grew||1
karibu	caribou||1
jet-jet	jets||1
dimiliki gurita	octopus||1
Kesempurnaan begitu mungkin mencapainya	Perfection||1
paling awal sebagiannya	earliest||1
meraih gelas	grabbed||1
perpanjangan waktu	extra-time||1
Syiah	Shiite||1 Shia||1 Shiites||1
Penciptaan	creation||1
per bulan mengalami	monthly||1
pastur	priest||1 Rev.||1
Konflik	conflict||1 conflicts||1
Jenis medan rawa medan berbatu memiliki batu-batu	swamps||1
memiliki berat	weighing||1
kewenangan otonom memadai	authority||1
tertindas	oppressed||1
forlino bagai sebotol	Forlino||1
pipa mentahnya	pipeline||1
dihukum mati	executed||1
segala allah	gods||1
harga bahan bakar	fuel||1
Konstruksi komersil industrial projek bernilai	Commercial||1
humoris	humorist||1
Emansipasi	Emancipation||1
Deivid beralih sempat kecolongan akhirnya	Deivid||1
secara profesional	professionally||1
dolar AS dolar AS per dolar AS	dollar||1
ekspektasi redemptions	redemptions||1
sejarawan	historians||1
daftar gaji	payroll||1
kelegaan bersama	relief||1
celup ditayangkan	broadcasted||1
komputer dipakai	computers||1
nilainya setara dengan	equivalent||1
beribadah	worship||1
pintu	door||1 doors||1 entrance||1
Pidato Kenegaraan Keterangan RAPBN Tahun Nota Keuangannya	Notes||1
mengetahuinya	know||1
mengecilkan hati	discouraging||1
menggantikan	replace||1 replaced||1 succeeds||1 succeeding||1 succeed||1 succeeded||1 replaces||1 replacing||1 substitute||1 substituting||1
malam menjelang	eve||1
berkepanjangan menimbulkan halusinasi .	hallucination||1
pilihan memilih	choice||1
asisten tim	assistant||1
pemungutan suara bagi pemilihan	polls||1
masa-masa hewan-hewan lenyap	disappeared||1
menurunkan tingkat penekan	suppressor||1
harus tepat waktu	timely||1
diperjualbelikan	trading||1
Angkutan	Transport||1
marah malah	angry||1
mata uangnya mata uang	currency||1
pembelajaran	learning||1
benar-benar kejutan	shock||1
petugas jalan agar berlangsung lancar	smooth||1
kecil kromosom	chromosome||1
finalis	finalists||1 finalist||1
supir berkebangsaan	driver||1
setiap hari	daily||1 everyday||1
Raptors unggul	Raptors||1
meminta supaya	ask||1 requested||1
penarikan mundur	pullback||1
disusuli penggelaran	deployment||1
Hiu	Sharks||1
long beach seafood	seafood||1
investor-investor	investors||1
bencana baru-baru	recent||1
twg tea membuka	Twg||1
tanpa diberi tambahan	un-added||1
Wanita	She||1 Woman||1 woman||1
perkiraan pemasukan	forecast||1
Raed Al-Aqsha sekarang berada	Raed||1
anggota kelompok Islam	Islamists||1
jumlah peminjam	borrowers||1
korelasi terhadap buruknya	correlation||1
mendamaikan	reconcile||1 conciliatory||1
saling melengkapi	complementary||1
Betapa bergunanya Mazmur	Psalms||1
Jaminan Pemeliharaan Masyarakat	Maintenance||1
jalanan sibuk	busy||1
warga Cina	Chinese||1
menimbulkan ambivalensi lapangan	ambivalence||1
tuan rumah aldrin	aldrin||1
iklan diberitahu tentang	advertisements||1
kabupaten/kota sampel	districts||1
PROFIL KUANTITATIF	QUANTITATIVE||1
distrik	district||1 districts||1 District||1
penskorsan	suspension||1
Meskipun dahulunya	Although||1
